#List - Latest @ 2026-07-16 09:41 (UTC-07:00),,,,,
Identifier,Location,Location Folder,Location Type,Value,Status
OW105,OBS WELL 105 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW107,OBS WELL 107 - Osoyoos,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW152,OBS WELL 152 - Summerland,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW153,OBS WELL 153 - Summerland,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW154,OBS WELL 154 - Summerland,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW158,OBS WELL 158 - Summerland,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW162,OBS WELL 162 - Oyama,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW172,OBS WELL 172 - Oyama,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW173,OBS WELL 173 - Oyama,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW174,OBS WELL 174 - Oyama,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW175,OBS WELL 175 - Oyama,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW176,OBS WELL 176 - Oyama,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW177,OBS WELL 177 - Lake Country,Locations.GROUNDWATER.Inactive Wells,Groundwater,Groundwater,Groundwater
OW180,OBS WELL 180 - Armstrong,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW203,OBS WELL 203 - Cawston,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW236,OBS WELL 236 - Rutland,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW262,OBS WELL 262 - Kelowna,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW264,OBS WELL 264 - Mt Kobau,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
OW282,OBS WELL 282 - Willowbrook,Locations.GROUNDWATER.Active Wells,Groundwater,Groundwater,Groundwater
